, train acc, test acc
1, 0.982900,0.980300
2, 0.985950,0.980900
3, 0.993467,0.987500
4, 0.983100,0.972900
5, 0.996367,0.988100
6, 0.995100,0.987700
7, 0.997850,0.989500
8, 0.998133,0.988300
9, 0.998783,0.987700
10, 0.999067,0.989300
11, 0.999533,0.989000
12, 0.999050,0.989500
13, 0.997850,0.986800
14, 0.998400,0.988600
15, 0.999283,0.989800
16, 0.999350,0.988300
17, 0.999383,0.989500
18, 0.999850,0.990400
19, 0.999817,0.990900
20, 0.999983,0.990000
21, 1.000000,0.991000
22, 1.000000,0.991100
23, 1.000000,0.990700
24, 1.000000,0.990800
25, 1.000000,0.990900
26, 1.000000,0.990800
27, 1.000000,0.990900
28, 1.000000,0.991100
29, 1.000000,0.991000
30, 1.000000,0.991100
31, 1.000000,0.991000
32, 1.000000,0.991100
33, 1.000000,0.991100
